id_makanan,calories,proteins,fat,carbohydrate,name,label
1,280,9.2,28.4,0,Abon,"breakfast, lunch, dinner"
2,513,23.7,37,21.3,Abon Ikan Gabus,"breakfast, lunch, dinner"
3,0,0,0.2,0,Agar-Agar,snack
4,85,0.9,6.5,7.7,Buah Alpukat ,"snack, breakfast"
5,184,18.8,14,0,Daging Sapi Muda (Dengan Lemak),"breakfast, lunch, dinner"
6,174,19.6,10,0,Daging Sapi Muda (Tanpa Lemak),"breakfast, lunch, dinner"
7,190,19.1,12,0,Daging Sapi Muda,"breakfast, lunch, dinner"
8,30,0.5,0.2,6.8,Anggur Hijau,snack
9,354,16.4,31.5,0,Daging Angsa,"lunch, dinner"
10,126,3.4,7.9,10.3,Anyang Sayur,"breakfast, lunch"
11,58,0.3,0.4,14.9,Apel,"breakfast, snack"
12,57,0.5,0.4,12.8,Apel Malang,"breakfast, snack"
13,37,0.8,0.5,8.3,Buah Mulberries,snack
14,113,0.9,7.2,11.2,Nasi Sayur Ares,"breakfast, lunch, dinner"
15,302,18.2,25,0,Ayam,"breakfast, lunch, dinner"
16,297,35.9,15.2,1.6,Sayap Ayam Goreng Kentucky,"breakfast, lunch, dinner"
17,270,32.3,11.2,9.9,Ampela Ayam Goreng,breakfast
18,295,34,16,1.5,Sayap Ayam Goreng Tepung,"breakfast, lunch, dinner"
19,338,35.2,20.6,0.4,Dada Ayam Goreng Tepung,"breakfast, lunch, dinner"
20,275,37.4,12.2,1.3,Paha Ayam Goreng Kalasan,"breakfast, lunch, dinner"
21,298,34.2,16.8,0.1,Ayam Goreng Kentucky Dada,"breakfast, lunch, dinner"
22,286,32.1,16.1,1.1,Ayam Goreng Kentucky Paha,"breakfast, lunch, dinner"
23,295,39.2,13.6,1,Dada Ayam Goreng Kremes,"breakfast, lunch, dinner"
24,287,31,15.7,1.7,Paha Ayam Goreng,"breakfast, lunch, dinner"
25,246,37.9,9,0.7,Dada Ayam Goreng Pasundan,"breakfast, lunch, dinner"
26,245,33.1,11.4,0.3,Paha Ayam Goreng Pasundan,"breakfast, lunch, dinner"
27,295,37.4,14.7,0.6,Dada Ayam Goreng Tepung (Ala Pioneer),"breakfast, lunch, dinner"
28,244,36.7,9.2,1,Dada Ayam Goreng Sukabumi,"breakfast, lunch, dinner"
29,283,35.7,14.3,0.5,Paha Ayam Goreng Sukabumi,"breakfast, lunch, dinner"
30,261,27.4,16.1,1.6,Hati Ayam Goreng,"lunch, dinner"
31,264,18.2,20.1,2.7,Ayam Taliwang,"breakfast, lunch, dinner"
32,473,45.2,26.3,13.9,Usus Ayam,"breakfast, lunch, dinner"
33,453,11.9,45,0,Daging Babi (Berlemak),"breakfast, lunch, dinner"
34,371,14.1,35,0,Daging Babi (Tanpa Lemak),"breakfast, lunch, dinner"
35,110,16.3,4.6,0.8,Ginjal Babi,"breakfast, lunch, dinner"
36,129,19.7,4.8,1.7,Hati Babi ,"breakfast, lunch, dinner"
37,491,24.6,16.3,0.2,Rica-Rica Babi ,"breakfast, lunch, dinner"
38,102.9,3.3,2.7,16.3,Bacang,breakfast
39,450,3.2,13.9,78.1,Kue Bagea Kelapa Asin,snack
40,452,1.3,13.8,80.6,Kue Bagea Kelapa Manis,snack
41,129,1.9,6.6,15.6, Wajik (Ketan Gula Merah),snack
42,272,8.7,6.7,44.1,Kue Bakpia,"snack, breakfast"
43,76,4.1,2.5,9.2,Bakso,"lunch, dinner"
44,280,8.2,10.2,39,Bakwan Goreng,snack
45,190,3.3,0.3,43.5,Kue Bantal / Odading,"breakfast, snack"
46,159,3.1,5.8,23.5,Barongko / Burongko,snack
47,107,2.2,2.2,19.6,Jagung Rebus,"breakfast, snack"
48,110,1.4,1.1,23.4,Ubi Bakar,"breakfast, snack"
49,92,1.2,0.3,21,Ubi Kukus,"breakfast, snack"
50,182,2.4,0.4,42.2,Ubi Rebus,"breakfast, snack"
51,102,3.7,6.7,6.9,Tumis Bayam Oncom,"breakfast, lunch, dinner"
52,48,1.4,4.2,2.6,Tumis Bayam Santan,"breakfast, lunch, dinner"
53,326,16,28.6,0,Daging Bebek / Itik,"lunch, dinner"
54,303,11.3,27,3.7,Daging Bebek Alabio ,"lunch, dinner"
55,300,24,20.7,4.5,Daging Bebek Goreng,"lunch, dinner"
56,258,10.6,9.5,32.5,Burger Daging Sapi,"lunch, dinner"
57,151,8.6,3.1,22.3,Beef Teriyaki,"lunch, dinner"
58,132,9.8,1.1,20.7,Beef Yakiniku,"lunch, dinner"
59,131,20.2,4.3,2.8,Daging Burung Belibis,"lunch, dinner"
60,36,0.4,0.4,8.8,Buah Belimbing,snack
61,417,25.9,19.4,32,Belut Goreng,"lunch, dinner"
62,55,1.4,0.2,12.8,Bengkuang,snack
63,360,4.7,0.1,82.1,Bihun,"lunch, dinner"
64,154,3,4.5,25.5,Bihun Goreng,breakfast
65,381,6.1,3.9,80.3,Bihun Instan,"lunch, dinner"
66,354,0.5,0.3,87.4,Bihun Jagung,"lunch, dinner"
67,562,21.2,49.6,23.6,Biji Jambu Mete,snack
68,629,21.5,56.6,19.8,Biji Jambu Mete Goreng,snack
69,199,2.1,1.5,44.4,Bika Ambon,snack
70,458,6.9,14.4,75.1,Kue / Biskuit,snack
71,249,3.4,0.4,58,Kue Brem,snack
72,110,1.4,2.1,21.4,Buah Kelenting,snack
73,264,4,1.1,59.6,Buah Leci Kom,snack
74,39,0.7,0.2,9.7,Buah Mentega (Bisbul),snack
75,71,1.7,3.1,9.1,Buah Naga Merah,"snack, breakfast"
76,56,0.8,1,10.9,Buah Naga Putih,"snack, breakfast"
77,55,1.2,0.1,12.2,Buah Markisa,snack
78,60,1,60,13,Bubur ,breakfast
79,167,0.2,4,33,Bubur Sagu,breakfast
80,156,2.3,0.2,15.6,Bubur Tinotuan (Manado),breakfast
81,72,11.4,4.9,1.4,Daging Bulgogi,"breakfast, lunch, dinner"
82,60,5.1,0.5,8.5,Buncis Asam,"breakfast, lunch, dinner"
83,30,2.2,0.2,6.4,Buncis Rebus,"breakfast, lunch, dinner"
84,45,2.6,0.3,8.1,Tumis Bunga Pepaya,breakfast
85,281,37.5,0.3,32.1,Sarang Burung Walet,"breakfast, snack"
86,20,1.7,0.4,3.4,Sayur Caisin,"breakfast, lunch, dinner"
87,155,20.1,3.8,10.2,Ikan Cakalang,"breakfast, lunch, dinner"
88,323,4.9,11.5,50.1,Cake Tape,snack
89,102,3.2,6,8.7,Cammetutu,"lunch, dinner"
90,97,5.8,6.3,4.2,Cap Cai Sayur,"breakfast, lunch, dinner"
91,24,1.9,0.2,3.7,Carica Papaya,snack
92,460,0.8,18.7,17.2,Cassavastick,snack
93,116,3,0.4,28.6,Buah Cempedak,snack
94,462,1.2,20.7,67.7,Keripik Getuk Singkong,snack
95,168,13,9.6,7.5,Chicken Teriyaki,"breakfast, lunch, dinner"
96,311,8,4,48.9,Coklat Susu Bubuk,"dinner, snack"
97,472,2,29.8,62.7,Coklat Manis Batang,snack
98,504,5.5,52.9,29.2,Coklat Pahit Batang,snack
99,381,9,35,53.6,Coklat Susu Batang,snack
100,210,1.6,6.6,35.8,Combro ,snack
101,241,16,25,0,Corned Beef,breakfast
102,96,6.8,5.9,3.8,Coto Mangkasara Kuda,"breakfast, lunch, dinner"
103,84,6,6,1.4,Coto Mangkasara Sapi,"breakfast, lunch, dinner"
104,145,27,2.3,0,Ikan Cue Selar Kuning,"breakfast, lunch, dinner"
105,265,40.6,10.1,0,Cumi Goreng Tepung,"breakfast, lunch, dinner"
106,75,16.1,0.7,0.1,Cumi-Cumi Goreng,"breakfast, lunch, dinner"
107,190,19.1,12,0,Daging Anak Sapi,"lunch, dinner"
108,191,32,6,0,Daging Asap,"lunch, dinner"
109,457,11.6,45,0,Daging Babi,"lunch, dinner"
110,376,14.1,35,0,Daging Babi,"lunch, dinner"
111,206,17.1,14.8,0,Daging Domba,"lunch, dinner"
112,154,16.6,9.2,0,Daging Kambing,"lunch, dinner"
113,84,18.7,0.5,0,Daging Kerbau,"lunch, dinner"
114,118,18.1,4.1,0.9,Daging Kuda,"lunch, dinner"
115,207,18.8,14,0,Daging Sapi,"breakfast, lunch, dinner"
116,260,2,15,53,Deblo / Singkong Parut,snack
117,382,55.7,14.1,8,Dendeng Belut Goreng,"lunch, dinner"
118,433,55,9,0,Dendeng Daging Sapi,"breakfast, lunch, dinner"
119,598,74.3,26.9,9.2,Dendeng Ikan Mujair Goreng,"breakfast, lunch, dinner"
120,395,3,5.7,81.2,Dodol,snack
121,298,3.7,2.1,65.9,Dodol Bali,snack
122,368,2.6,8.6,70,Dodol Banjarmasin,snack
123,373,4.3,16.5,51.9,Dodol Manado,snack
124,17.5,3.3,2.3,39.5,Dendeng Batokok Sapi,"breakfast, lunch, dinner"
125,317,15.7,27.7,0,Daging Domba,"lunch, dinner"
126,202,17.1,14.8,0,Daging Domba,"lunch, dinner"
127,100,16.6,3.3,1,Ginjal Domba,"lunch, dinner"
128,63,1,0.2,16.1,Buah Duku,snack
129,134,2.5,3,28,Buah Durian,snack
130,80,0.5,0.6,18.2,Duwet / Jamblang,snack
131,98,1.4,0.2,25.4,Buah Mangga,"snack, breakfast"
132,248,36.2,6.9,10.1,Empal Daging Goreng,"breakfast, lunch, dinner"
133,590,18.5,57,0,Empal Goreng,"breakfast, lunch, dinner"
134,345,12,1.5,71.5,Emping (Kerupuk Melinjo),snack
135,403,10.6,2.2,85.3,Emping Beras,snack
136,355,17.8,4.6,60.7,Emping Komak,snack
137,122,3.5,4.5,17.5,Tumis Terong Asam Manis,"breakfast, lunch, dinner"
138,524,13.3,29.2,52,Enting-Enting Gepuk,snack
139,565,18.2,38.4,36.8,Enting-Enting Wijen,snack
140,210,4,12.5,20.6,Es Krim,"snack, dinner"
141,156.7,3,1.7,32.7,Es Krim (Coconut Milk) ,"snack, dinner"
142,152,0,0,37.6,Es Mambo ,"snack, lunch, dinner"
143,44.8,0,0,11.3,Es Sirup ,"snack, lunch, dinner"
144,270,12.3,15.9,19.3,Fish Fillet Burger,"breakfast, lunch, dinner"
145,322,2.4,0.6,76.6,Keripik Gadung,"lunch, dinner"
146,137,6.1,3.2,21,Gado-Gado,"breakfast, lunch"
147,88,0.8,0.3,20.9,Gadung Kukus,"breakfast, snack"
148,88,0.6,0.3,20.9,Gadung Ubi Kukus,"breakfast, snack"
149,18,0.8,0.2,4.1,Gambas (Oyong),"lunch, dinner"
150,13,0.3,0.6,1.6,Gambas Lodeh,"lunch, dinner"
151,68,0.7,0.1,18,Buah Gandaria,snack
152,100,0.8,0.2,23.8,Ganyong Kukus,"breakfast, snack"
153,338,1.5,0.7,81.3,Gaplek,snack
154,191,4.5,1.5,39.7,Buah Gatep,snack
155,347,1.3,0.7,83.8,Gatot,"breakfast, snack"
156,195,0.4,1.7,44.4,Geblek,snack
157,274,1.7,5.4,55.5,Gemblong,snack
158,407,6.4,28.2,32,Gendar Goreng,snack
159,350,1.4,14.4,53.6,Geplak,snack
160,462,3.1,24.4,57.7,Geplak Jahe,snack
161,75,8.2,2,6,Gete Kuah Asam,"lunch, dinner"
162,360,1.3,6.4,74.3,Getuk Goreng,snack
163,171.4,4,4,32,Getuk Lindri ,snack
164,144,1.1,0.4,34.1,Getuk Pisang,snack
165,204,0.5,1.4,47.4,Getuk Singkong,snack
166,114,16.3,4.6,0.8,Ginjal Babi,"lunch, dinner"
167,105,16.6,3.3,1,Ginjal Domba,"lunch, dinner"
168,141,15,8.1,0.9,Ginjal Sapi,"lunch, dinner"
169,53,1.6,1.6,8.8,Gudeg ,"breakfast, lunch, dinner"
170,160,3.3,9.2,16,Gudeg Sayur,"breakfast, lunch, dinner"
171,52,10,0.5,1.8,Gulai Asam Keueung,"lunch, dinner"
172,106,16.5,3.3,2.5,Gulai Ikan ,"lunch, dinner"
173,148,10,9.8,5,Gulai Ikan Paya ,"lunch, dinner"
174,126,4.2,9.4,6.2,Gulai Kambing,"lunch, dinner"
175,110,5.9,8.2,3.2,Gulai Keumamah,"lunch, dinner"
176,143,4,11.4,6,Gulai Pakis,"lunch, dinner"
177,176,7.3,14.9,3.2,Gulai Pliek,"lunch, dinner"
178,132,9,7.2,7.8,Gulai Tiram,"lunch, dinner"
179,192,12.7,10.1,12.7,Gurame Asem Manis,"breakfast, lunch, dinner"
180,218,0.5,2.5,48.5,Gurandil,snack
181,389,16.9,35,0.3,Ham,breakfast
182,65,10,1,3.5,Hangop / Yogurt,"breakfast, snack"
183,134,19.7,4.8,1.7,Hati Babi,"lunch, dinner"
184,136,19.7,3.2,6,Hati Sapi,"lunch, dinner"
185,390,14.2,7.4,68.2,Oats,breakfast
186,127,1.2,0.5,29.5,Hofa/Ubi Goreng,"lunch, dinner"
187,380,33.6,27.5,0,Ikan Asin Bilis Goreng,breakfast
188,456,46.5,24.4,0,Ikan Asin Gabus Goreng,breakfast
189,348,18.7,29.5,0,Ikan Asin Japuh Goreng,breakfast
190,193,42,1.5,0,Ikan Asin Kering,breakfast
191,430,58.2,23.6,0,Ikan Asin Pari Goreng,breakfast
192,652,40.4,54.3,0,Ikan Asin Pepetek Goreng,breakfast
193,319,6.9,31.7,0,Ikan Asin Sirinding Goreng,breakfast
194,430,33.4,32.4,0,Ikan Asin Teri Goreng,breakfast
195,198,19,13,0,Ikan Bader,"lunch, dinner"
196,107,16.5,3.9,1.5,Ikan Balong,"lunch, dinner"
197,112,20,1.3,3.7,Ikan Bambangan,"lunch, dinner"
198,129,20,4.8,0,Ikan Bandeng,"lunch, dinner"
199,296,17.1,20.3,11.3,Ikan Bandeng Presto,"breakfast, lunch, dinner"
200,111,19.4,0.9,4.8,Ikan Banjar Goreng,"lunch, dinner"
201,78,14.5,0.6,3.7,Ikan Baronang Goreng,"lunch, dinner"
202,144,17.8,5.8,5.2,Ikan Baung Bakar,"lunch, dinner"
203,123,15.1,5.5,3.3,Ikan Baung Goreng,"lunch, dinner"
204,96,19,1.7,0,Ikan Bawal,"lunch, dinner"
205,138,14,0.7,7.4,Ikan Bekasang,"lunch, dinner"
206,128,18,3,7.2,Ikan Belida Bakar,"lunch, dinner"
207,80,14.7,1.4,2.2,Ikan Belida Goreng,"lunch, dinner"
208,66,14,0,0,Ikan Beunteur,"lunch, dinner"
209,90,14.9,2.5,2.1,Ikan Biawan,"lunch, dinner"
210,88,14.2,0.7,6.2,Ikan Bili Goreng,"lunch, dinner"
211,100,14.7,2.4,4.9,Ikan Bubara Goreng,"lunch, dinner"
212,134,25.5,1.3,5,Ikan Bulan-Bulan Goreng,"lunch, dinner"
213,204,34.2,5.6,1.9,Ikan Cakalang Asap,"breakfast, lunch, dinner"
214,198,36.5,2.2,5.5,Ikan Cakalang Asin,"breakfast, lunch, dinner"
215,120,11.3,3.9,10,Ikan Cakalang Hati,"breakfast, lunch, dinner"
216,116,11.2,1.2,10.2,Ikan Cakalang Jantung,"breakfast, lunch, dinner"
217,86,10.2,1.1,8.7,Ikan Cakalang Perut,"breakfast, lunch, dinner"
218,107,19.6,0.7,5.5,Ikan Cakalang Goreng,"breakfast, lunch, dinner"
219,81,11.4,1.9,3.8,Ikan Calo / Peda,"breakfast, lunch, dinner"
220,101,11.5,4.1,4.6,Ikan Daun,"breakfast, lunch, dinner"
221,109,17,4,0,Ikan Ekor Kuning,"breakfast, lunch, dinner"
222,261,38.1,2.3,21.9,Ikan Gabus Asap,"breakfast, lunch, dinner"
223,292,58,4,0,Ikan Gabus Kering,"breakfast, lunch, dinner"
224,74,25.2,1.7,0,Ikan Gabus Goreng,"breakfast, lunch, dinner"
225,267,23.1,19.4,0.2,Ikan Gete Goreng,"breakfast, lunch, dinner"
226,101,10.3,3.7,6.7,Ikan Hitam Goreng,"breakfast, lunch, dinner"
227,298,46.3,3.6,20.2,Ikan Hiu Kering,"breakfast, lunch, dinner"
228,57,10.7,0.3,2.2,Ikan Hiu Goreng,"breakfast, lunch, dinner"
229,77,15.6,0.9,1.6,Ikan Kacangan Goreng,"breakfast, lunch, dinner"
230,92,20,0.7,0,Ikan Kakap Goreng,"breakfast, lunch, dinner"
231,82,11.4,1.2,6.4,Ikan Kakatua Goreng,"breakfast, lunch, dinner"
232,132,17,6.7,0.8,Ikan Kapar Goreng,"breakfast, lunch, dinner"
233,162,31.7,2.8,0.3,Ikan Katombo Asin,"breakfast, lunch, dinner"
234,110,12.6,4.2,5.4,Ikan Kawalinya Goreng,"breakfast, lunch, dinner"
235,302,70.7,1.9,0.4,Ikan Kayu Kering,"breakfast, lunch, dinner"
236,103,22,1,0,Ikan Kembung,"lunch, dinner"
237,147,17.5,6.5,5.4,Ikan Lais Bakar,"breakfast, lunch, dinner"
238,109,22,1.7,0,Ikan Layang,"breakfast, lunch, dinner"
239,82,18,1,0.4,Ikan Layur Goreng,"lunch, dinner"
240,90,20.4,0.9,0,Ikan Lehoma Goreng,"lunch, dinner"
241,252,19.9,19.1,0,Ikan Lele Goreng,"breakfast, lunch, dinner"
242,112,20,3,0,Ikan Lemuru,"lunch, dinner"
243,104,15.6,3.2,2,Ikan Lidah Goreng,"lunch, dinner"
244,258,40.3,2.3,18.9,Ikan Lomak Asin ,"lunch, dinner"
245,99,20.6,1.4,0.9,Ikan Malalugis Goreng,"lunch, dinner"
246,86,16,2,0,Ikan Mas,"lunch, dinner"
247,188,19.3,12.2,0,Ikan Mas Goreng,breakfast
248,209,15.2,11.3,11.8,Ikan Mas Pepes,"lunch, dinner"
249,97,17.9,2,0.4,Ikan Mayong Goreng,"lunch, dinner"
250,598,74.3,26.9,9.2,Dendeng Ikan Mujair Goreng,"breakfast, lunch, dinner"
251,582,68.3,15.2,37.2,Dendeng Ikan Mujair,"lunch, dinner"
252,416,46.9,23.9,0,Ikan Mujair Goreng,breakfast
253,121,21.7,2.8,0.8,Ikan Mujair Pepes,"lunch, dinner"
254,89,18.7,1,0,Ikan Mujair Goreng,"lunch, dinner"
255,154,16.8,5,10.5,Ikan Nasu Metti Goreng,"lunch, dinner"
256,125,21.3,3.4,2.2,Ikan Oci Kembung Goreng,"lunch, dinner"
257,152,17.6,6.1,6.7,Ikan Papuyu Bakar,"lunch, dinner"
